,sy/an/un/NE,,sentence_id,{combospartial.1},{combospartial.2},sentence_text
,sy,"combination, followed by",29467637,mefloquine,artesunate,"The patients were randomized to receive either mefloquine alone ( 8 patients ; 1250 mg of mefloquine -- initial dose , 750 mg ; followed 6 hours later by 500 mg ) , or in combination with oral artesunate ( 12 patients -- initial dose , 200 mg of artesunate ; followed by 750 mg and 500 mg of mefloquine 6 hours and 12 hours later , respectively ) ."
,sy,"combination, followed by",29467643,mefloquine,Artesunate,Artesunate caused three significant changes in mefloquine pharmacokinetics : a decrease in the maximum concentration ( Cmax : 1623 ng.ml-1 versus 2212 ng.ml-1 ) ; an increase in the clearance rate ( Cl/f:2.9 ml.min-1.kg-1 versus 1.1 ml.min-1.kg-1 ) ; and an expansion of the volume of distribution ( Vdz/f : 31.8 l.kg-1 versus 25.0 l.kg-1 ) .
,sy,plus,29488131,mefloquine,artesunate,Single-dose artesunate ( 4 mg/kg ) plus mefloquine ( 25 mg of base/kg ) gave more rapid symptomatic and parasitologic responses than high-dose mefloquine alone but did not improve cure rates .
,sy,plus,29488132,mefloquine,artesunate,"Three days of artesunate ( total dose , 10 mg/kg ) plus mefloquine was 98 % effective compared with a 28-day failure rate of 31 % with high-dose mefloquine alone ( relative risk [ RR ] , 0.06 ; 95 % confidence interval [ CI ] , 0.02 - 0.2 ; P < .0001 ) ."
,sy,plus,29488138,mefloquine,Artesunate,Artesunate ( 10 mg/kg over 3 days ) plus mefloquine ( 25 mg/kg ) is currently the most effective treatment for falciparum malaria in this area of increasing mefloquine resistance .
,NE,prior to,31111493,mefloquine,artesunate,"Pooled results from all the sentinel sites indicated geometric mean IC50 values of 1.60 , 3.80 , 4.00 , 4.56 , 5.20 , 6.11 , 10.12 , 28.32 , 31.56 , 93.60 , 107.20 , and 8952.50 nM for atovaquone , artesunate , dihydroartemisin , artemether , lumefantrine , amodiaquine , mefloquine , piperaquine , chloroquine , tafenoquine , quinine , and doxycycline , respectively ."
,sy,combination,31390999,mefloquine,artesunate,"The pfmdr1 gene , which encodes P-glycoprotein homolog 1 , has been shown to be a reliable marker of resistance for Plasmodium falciparum related to artesunate and mefloquine combination therapy ."
,sy,plus,33606365,mefloquine,artesunate,"One trial reported fewer treatment failures at day 63 with artesunate plus mefloquine compared with quinine ( RR 0.09 , 95 % CI 0.02 to 0.38 ; 106 participants ) ."
,sy,combination,33607237,mefloquine,artesunate,The combination of an oral artemisinin derivative ( usually artesunate ) and mefloquine has become standard treatment for multidrug-resistant falciparum malaria in several parts of Southeast Asia .
,sy,combination,33607239,mefloquine,artesunate,"In order to characterize the in vivo dose-response relationship for artesunate and thus rationalize dosing , 47 adult patients with acute uncomplicated falciparum malaria and parasitemia > or = 1 % were randomized to receive a single oral dose of artesunate varying between 0 and 250 mg together with a curative dose of oral mefloquine ."
,NE,,35517014,mefloquine,artesunate,A controlled clinical therapeutic study in hospitalized patients compared artesunate with quinine and mefloquine in patients with uncomplicated falciparum malaria .
,,,,,,
,27/50 are sy,,,,,
,24/27 are covered,,,,,
,88.88%,,,,,
